courseNumber,courseTitle,daytime,faculty1,Units
MGT854,"Behavioral Economics: The Psychology and Behavior of Individuals, Organizations, and Markets",T  Th 10:10 AM-11:30 AM,"Frederick, Shane",2
MGT854,"Behavioral Economics: The Psychology and Behavior of Individuals, Organizations, and Markets",T  Th 1:00 PM-2:20 PM,"Frederick, Shane",2
MGT859,Emerging Trends in Digital Advertising,M 4:10 PM-7:10 PM,"Kelman, Leora",2
MGT864,Behavioral Science for Social Good,M  W 8:30 AM-9:50 AM,"Small, Deborah",2
MGT864,Behavioral Science for Social Good,M  W 10:10 AM-11:30 AM,"Small, Deborah",2
MGT871,Financial Reporting,M  W 2:40 PM-4:00 PM,"Raghunandan, Aneesh",2
MGT875,Service Management,M  W 10:10 AM-11:30 AM,"Fujikawa, Yoshinori",2
MGT879,Healthcare Operations,T  Th 8:30 AM-9:50 AM,"Pinker, Edieal",2
MGT881,Power and Purpose,M  W 10:10 AM-11:30 AM,"Levine, Emma",2
MGT881,Power and Purpose,M  W 1:00 PM-2:20 PM,"Levine, Emma",2
MGT882,Advanced Negotiations,M 8:50 AM-11:30 AM,"Nalebuff, Barry",1
MGT882,Advanced Negotiations,T 8:50 AM-11:30 AM,"Nalebuff, Barry",1
MGT883,Housing Markets,M  W 1:00 PM-2:20 PM,"LaPoint, Cameron",2
MGT883,Housing Markets,M  W 2:40 PM-4:00 PM,"LaPoint, Cameron",2
MGT887,Negotiations,M 8:30 AM-11:30 AM,"Frey, Erin",2
MGT887,Negotiations,T 2:40 PM-5:40 PM,"Frey, Erin",2
MGT888,The Business of Multicultural Media,W 4:10 PM-7:10 PM,"Walton, Mark",2
MGT898,Financial Crises: Policy Response,T  Th 2:40 PM-4:00 PM,"Metrick, Andrew",2
MGT899,Generative AI & Entrepreneurship,M 6:00 PM-9:00 PM,"Ranganathan, Anand",2
MGT926,"Crypto, SPACs, Climate Change and More: The Role for Asset Managers in an Uncertain Regulatory Environment",Th 8:30 AM-11:30 AM,"Caplan, Lauren",2
MGT927,Financial Econometrics and Machine Learning,F 8:30 AM-11:30 AM,"Kelly, Bryan",2
MGT936,Fixed Income Strategies,Th 4:10 PM-7:10 PM,"Brooks, Jordan",2
MGT937,Hedge Fund Strategies,W 6:00 PM-9:00 PM,"Israel, Ronen",2
MGT995,Sustainable Innovation in Healthcare,M 4:10 PM-7:10 PM,"Licholai, Greg",2
MGMT720b,Models of Operations Research and Management,T 8:30 AM-11:30 AM,"Manshadi, Vahideh",0.5
MGMT721,Modeling Operational Processes,F 9:00 AM-12:00 PM,"Lian, Zhen",0.5
MGMT739,The Finance of Information,M  W 1:00 PM-2:20 PM,"Ingersoll, Jonathan",0.5
MGMT756,Empirical Methods of Marketing,F 4:10 PM-7:10 PM,"Sudhir, K.",1
MGMT759,Moral Consumer Decision Making,W 2:30 PM-5:30 PM,"Small, Deborah",0.5
MGT421,Innovator,M  W 8:30 AM-9:50 AM,"Botelho, Tristan",2
MGT421,Innovator,M  W 10:10 AM-11:30 AM,"Botelho, Tristan",2
MGT421,Innovator,M  W 1:00 PM-2:20 PM,"Botelho, Tristan",2
MGT421,Innovator,T  Th 8:30 AM-9:50 AM,"Botelho, Tristan",2
MGT421,Innovator,T  Th 10:10 AM-11:30 AM,"Botelho, Tristan",2
MGT425,The Global Macroeconomy,T  Th 8:30 AM-9:50 AM,"Donovan, Kevin",2
MGT425,The Global Macroeconomy,T  Th 10:10 AM-11:30 AM,"Donovan, Kevin",2
MGT425,The Global Macroeconomy,T  Th 1:00 PM-2:20 PM,"Donovan, Kevin",2
MGT425,The Global Macroeconomy,T  Th 10:10 AM-11:30 AM,"Schott, Peter",2
MGT425,The Global Macroeconomy,T  Th 1:00 PM-2:20 PM,"Schott, Peter",2
MGT430,The Executive,M  W 10:10 AM-11:30 AM,"Dhar, Ravi",2
MGT430,The Executive,M  W 1:00 PM-2:20 PM,"Hampole, Menaka",2
MGT430,The Executive,M  W 2:40 PM-4:00 PM,"Novemsky, Nathan",2
MGT430,The Executive,T  Th 1:00 PM-2:20 PM,"Iwata, Jon",2
MGT430,The Executive,T  Th 2:40 PM-4:00 PM,"Iwata, Jon",2
MGT526,Market Failures and Economic Policy in Developing Countries,T  Th 2:40 PM-4:00 PM,"Donovan, Kevin",2
MGT532,Business Ethics,T  Th 10:10 AM-11:30 AM,"Dana, Jason",2
MGT532,Business Ethics,M  W 10:10 AM-11:30 AM,"Helgason, Beth Anne",2
MGT532,Business Ethics,M  W 1:00 PM-2:20 PM,"Helgason, Beth Anne",2
MGT611,Policy Modeling,M  W 2:40 PM-4:00 PM,"Monachou, Faidra",2
MGT624,Human Capital Strategy,W 2:40 PM-5:40 PM,"Weisman, Hannah",2
MGT624,Human Capital Strategy,Th 8:30 AM-11:30 AM,"Weisman, Hannah",2
MGT630,Games & Information II,T  Th 1:00 PM-2:20 PM,"Polak, Benjamin",2
MGT641,Behavioral Finance,M  W 10:10 AM-11:30 AM,"Barberis, Nicholas",2
MGT641,Behavioral Finance,M  W 1:00 PM-2:20 PM,"Barberis, Nicholas",2
MGT641,Behavioral Finance,M  W 2:40 PM-4:00 PM,"Barberis, Nicholas",2
MGT668,Narratives in Health Media,W 4:10 PM-7:10 PM,"Hamblin, James",2
MGT678,Understanding and Reducing Bias in Organizations,T  Th 2:40 PM-4:00 PM,"Owens, Jayanti",2
MGT678,Understanding and Reducing Bias in Organizations,T  Th 4:10 PM-5:30 PM,"Owens, Jayanti",2
MGT803,Decision Making with Data,T  Th 2:40 PM-4:00 PM,"Schott, Peter",2
MGT805,"Fixed Income Securities: Bonds, Swaps, and Derivatives (Part 2)",T  Th 10:10 AM-11:30 AM,"Majd, Saman",2
